Model,Trial,Top1_Accuracy,Top5_Accuracy,Time_Per_Image,Precision,Recall,F1,ROC_AUC,CPU Power Usage (W),GPU Power Usage (W)
efficientnet_v2_s,22,0.7894235883653873,0.9443184681279919,0.0025026703871350044,0.7914569426882028,0.7894235883653873,0.7882737078104619,0.9957587488754581,0.851071428571428,10.024307142857147
efficientnet_v2_s,23,0.7904593936339968,0.9434506312813191,0.0024756763327218848,0.7931252964152006,0.7904593936339968,0.7894734539955466,0.9958451299822817,1.6828571428571424,10.381978571428581
efficientnet_v2_s,24,0.7914392094286274,0.9443464628649814,0.002549962732326757,0.7938074577151734,0.7914392094286274,0.7904494530405437,0.995946826641288,1.4074999999999993,10.536350000000006
efficientnet_v2_s,25,0.7943506620755298,0.9450743260267069,0.002631530753442413,0.7958475219889213,0.7943506620755298,0.793373193069505,0.9957951692082441,2.2400000000000007,7.841521428571431
efficientnet_v2_s,26,0.7964782620867277,0.9452142997116542,0.0024880634797606904,0.79913340462276,0.7964782620867277,0.7953354187291437,0.9960179677524512,2.790357142857143,7.303707142857138
efficientnet_v2_s,27,0.7930349094370258,0.9453262786596119,0.002488666811387445,0.7952542860684716,0.7930349094370258,0.7920147002998933,0.9960421684877813,1.1371428571428572,7.271775000000002
efficientnet_v2_s,28,0.7950225357632765,0.945634220766496,0.0024797623603555743,0.797121406775221,0.7950225357632765,0.7938810360150335,0.995662007836193,2.471785714285711,8.246896428571423
efficientnet_v2_s,29,0.7955264410290865,0.9450463312897175,0.002470024849271818,0.7975028706432838,0.7955264410290865,0.79450139627283,0.9957166308552423,2.542857142857144,9.66419285714285
efficientnet_v2_s,30,0.7957503989250021,0.946138126032306,0.0024640859166197094,0.7981734852138155,0.7957503989250021,0.7947039375951479,0.9958746754269898,6.227142857142858,6.962485714285716
resnet50,1,0.4523949497494471,0.7660759777161894,0.0019180505907998428,0.4578465858222568,0.4523949497494471,0.4528812750556895,0.9681156834627564,4.192857142857146,10.865539285714286
resnet50,2,0.8336272780717225,0.9288093838358389,0.0019162246039004433,0.8352494927788457,0.8336272780717225,0.8338023968935402,0.9955192255965456,3.429642857142857,10.495560714285721
resnet50,3,0.8320035833263346,0.9278855575151872,0.001935521244305265,0.833974584850168,0.8320035833263346,0.8322123804452233,0.9951051657948627,2.1989285714285725,12.017775000000004
resnet50,4,0.836174799137762,0.9299011785784272,0.001974923049831927,0.8379016658437823,0.836174799137762,0.8363055526061663,0.9954934626775699,1.6221428571428576,11.343207142857151
resnet50,5,0.8367066991405616,0.9302931048962795,0.0019457748117060047,0.838072670823402,0.8367066991405616,0.8367848660144358,0.9955192481645038,3.6614285714285715,12.258824999999996
