Model,Trial,Top1_Accuracy,Top5_Accuracy,Time_Per_Image,Precision,Recall,F1,ROC_AUC,CPU Power Usage (W),GPU Power Usage (W)
efficientnet_v2_s,30,0.8454746136865342,0.9641893549178318,0.0025735789333240894,0.8457331994936156,0.8454746136865342,0.8446265160202658,0.9944994929185725,12.01145833333333,9.593843750000001
resnet50,1,0.5479519254353692,0.8438394244133759,0.0020208367341557503,0.5489642018571685,0.5479519254353692,0.5468354447930179,0.9645206659780146,4.821875000000001,10.947791666666665
resnet50,2,0.8619900253454338,0.9504537650233015,0.001978786449168828,0.862975505566113,0.8619900253454338,0.8619890272711935,0.9950233244481828,9.120833333333334,13.874020833333333
resnet50,3,0.8610089117815387,0.9506990434142752,0.001998063987960859,0.8619318780951912,0.8610089117815387,0.860974414437716,0.9949332710418448,5.921874999999997,10.010645833333333
resnet50,4,0.8601913171449596,0.9502902460959856,0.002013485679816716,0.8610595725436223,0.8601913171449596,0.8601197333303692,0.9953748616804148,6.5093749999999995,12.445364583333335
resnet50,5,0.8614994685634862,0.953969421960592,0.001995053356427338,0.8627289699555402,0.8614994685634862,0.8615910365952945,0.9954060657268534,5.842708333333333,11.452802083333339
resnet50,6,0.8621535442727496,0.9521707137601177,0.001988748197670161,0.8633891520880599,0.8621535442727496,0.8620611990328914,0.9952484694540495,6.10625,13.677281250000002
resnet50,7,0.8628893794456708,0.9544599787425394,0.002009385683366746,0.8642558599598894,0.8628893794456708,0.8631047406295784,0.9951393892400964,5.805208333333332,14.701177083333334
resnet50,8,0.8631346578366446,0.950862562341591,0.002017924444681878,0.8642912649034845,0.8631346578366446,0.863147387407356,0.9951215620585478,3.863541666666664,10.491145833333336
resnet50,9,0.8592919630447224,0.9494726514594064,0.0019866548860543844,0.86065399600183,0.8592919630447224,0.8595069028693366,0.9946136086696088,8.955208333333333,9.837729166666668
resnet50,10,0.8589649251900907,0.9533153462513286,0.0020000355074678766,0.8606376759827724,0.8589649251900907,0.8591809796101374,0.9954889475241925,9.689583333333331,9.728322916666666
resnet50,11,0.8584743684081433,0.9510260812689069,0.0020161796479688703,0.8600162434871953,0.8584743684081433,0.858778744038105,0.994805361218821,5.088541666666663,10.173489583333332
resnet50,12,0.8612541901725125,0.9510260812689069,0.0020318106358989496,0.8626177597192635,0.8612541901725125,0.8614644100720902,0.9948964359020435,6.078125000000001,13.640427083333334
resnet50,13,0.8614177090998283,0.9507808028779331,0.002032229189061444,0.8624783761926254,0.8614177090998283,0.8614366800414484,0.9949458707431555,6.716666666666665,9.295458333333334
resnet50,14,0.8636252146185921,0.9530700678603549,0.0019829249247517514,0.8645728615271312,0.8636252146185921,0.863626841962882,0.9954926314608736,8.730208333333328,10.980885416666665
resnet50,15,0.8636252146185921,0.9524977516147494,0.001984132475576556,0.8642408642720284,0.8636252146185921,0.8634710393380028,0.9951127569295614,5.527083333333333,9.561833333333334
resnet50,16,0.8624805821273812,0.9511896001962227,0.001993150315742034,0.8642036756566519,0.8624805821273812,0.8627191900318578,0.9947073660984908,6.594791666666668,12.022781249999996
resnet50,17,0.8624805821273812,0.9507808028779331,0.0020133387222770346,0.8641547392277784,0.8624805821273812,0.8627772934715088,0.9949682272048991,4.472916666666666,9.228916666666667
resnet50,18,0.8589649251900907,0.9523342326874336,0.0020160303707651454,0.8602095559368493,0.8589649251900907,0.8590482209432179,0.9950921284480874,7.034375000000001,11.409562500000002
resnet50,19,0.8646063281824872,0.9538059030332761,0.002022972637922237,0.8653447838547866,0.8646063281824872,0.8645136231308399,0.9955407011853427,6.974999999999995,11.703645833333333
resnet50,20,0.864769847109803,0.9548687760608291,0.002006285033273966,0.865746561590132,0.864769847109803,0.8647556484391828,0.9952817429395991,4.711458333333334,12.220541666666668
resnet50,21,0.8599460387539858,0.9515983975145123,0.002008165130727514,0.860797141961565,0.8599460387539858,0.8597321263467309,0.9950226602111011,7.114583333333337,12.048125000000004
resnet50,22,0.8595372414356962,0.9497179298503802,0.002026062508399757,0.8606343422590736,0.8595372414356962,0.859562702434014,0.9948186417175813,4.832291666666668,10.93914583333333
resnet50,23,0.862725860518355,0.9511078407325648,0.00198347103994365,0.8641364031428292,0.862725860518355,0.8628900126998629,0.994992295486357,7.76145833333333,9.564833333333333
resnet50,24,0.8618265064181179,0.953887662496934,0.002003798782265047,0.8632417710386847,0.8618265064181179,0.8620627707977305,0.9952087563883817,5.9781249999999995,12.789947916666664
resnet50,25,0.8632981767639605,0.9530700678603549,0.0020135035743679072,0.8642072750897144,0.8632981767639605,0.8632264638484534,0.9954718568502434,4.580208333333334,10.971968750000002
resnet50,26,0.859700760363012,0.9531518273240127,0.002016799232184122,0.8618180056353516,0.859700760363012,0.8600013303101596,0.9953719026310591,4.890625,11.408625
resnet50,27,0.8583108494808274,0.9511896001962227,0.0020097266934740797,0.8596555202009316,0.8583108494808274,0.8583315375231898,0.9949581196962709,5.038541666666669,11.886270833333322
resnet50,28,0.8616629874908021,0.9529065489330389,0.0020246027574624174,0.8627264241564891,0.8616629874908021,0.861583379481284,0.9949355753639171,5.636458333333334,13.19015625
resnet50,29,0.8581473305535116,0.9545417382061974,0.0019955557683689422,0.8590092453400103,0.8581473305535116,0.8581139996509666,0.9955098278368956,6.661458333333333,7.772260416666668
resnet50,30,0.8583926089444853,0.9531518273240127,0.0020047168039298976,0.8596859458515832,0.8583926089444853,0.8583744219728326,0.9950124345866949,6.686458333333334,13.097322916666663
resnet18,1,0.5133676723080697,0.8229907611806067,0.00143279772769322,0.5126932437060323,0.5133676723080697,0.5111742011887463,0.9635308952047785,2.6749999999999994,11.606135416666667
resnet18,2,0.8493990679421143,0.9461205134494318,0.0014687264582559352,0.8506334197439998,0.8493990679421143,0.8492626531093395,0.9931879733414132,2.151041666666665,10.696083333333336
resnet18,3,0.8469462840323767,0.9462022729130897,0.0014471948687750128,0.8475663826123692,0.8469462840323767,0.846585867671699,0.9936161986092024,2.372916666666666,11.290302083333332
resnet18,4,0.8455563731501922,0.9446488431035892,0.001481499074281417,0.8463497957168407,0.8455563731501922,0.8453382228779026,0.9932730353592836,0.9510416666666667,10.250770833333334
resnet18,5,0.8492355490147985,0.9466928296950372,0.0014401776901144065,0.8503184999282563,0.8492355490147985,0.8492092468922132,0.9935361232591876,1.5031249999999992,11.536166666666666
resnet18,6,0.8509524977516147,0.945875235058458,0.001477912288881286,0.8523653151807287,0.8509524977516147,0.8509118674251165,0.9930884123266875,2.682291666666666,12.354239583333337
resnet18,7,0.8525876870247732,0.9495544109230644,0.0014969237485624727,0.8537554060863459,0.8525876870247732,0.8526202748411629,0.9936079832843515,3.1604166666666664,13.346593750000006
resnet18,8,0.8510342572152727,0.943913007930668,0.00144545773280124,0.8522216544092233,0.8510342572152727,0.8508647065214272,0.9931368038269016,2.597916666666665,11.424270833333336
resnet18,9,0.84367590548606,0.9416237429482462,0.0014748654783858799,0.844815597631403,0.84367590548606,0.8436633266073396,0.9932600971671101,0.6854166666666663,12.536312499999996
resnet18,10,0.8470280434960347,0.9452211593491947,0.001459302442967185,0.8480521389590991,0.8470280434960347,0.8467360322235684,0.9935037118931924,1.4208333333333336,9.809270833333336
resnet18,11,0.8482544354509034,0.944894121494563,0.0014840030833907006,0.8493058611341778,0.8482544354509034,0.8482090953269569,0.9933494792352795,0.5302083333333331,12.29679166666667
resnet18,12,0.8508707382879568,0.943913007930668,0.0014783652666379011,0.8523499128064077,0.8508707382879568,0.850844514309134,0.9932638529122944,2.0895833333333322,11.16689583333333
resnet18,13,0.8532417627340365,0.9463657918404055,0.0014697382996101994,0.8540746701370611,0.8532417627340365,0.8530764119589873,0.9936632092684209,3.7968749999999987,6.5105625000000025
